"","st","countyid","county_name","fcc_broadband","usage"
"2048","OH","9009","Athens County","0.7734","0.257"
"2049","OH","9011","Auglaize County","0.9605","0.597"
"2050","OH","9013","Belmont County","0.8946","0.43"
"2051","OH","9015","Brown County","0.8635","0.168"
"2052","OH","9017","Butler County","0.9983","0.677"
"2053","OH","9019","Carroll County","0.6838","0.282"
"2054","OH","9021","Champaign County","0.9232","0.393"
"2055","OH","9023","Clark County","0.9974","0.522"
"2056","OH","9025","Clermont County","0.9946","0.756"
"2057","OH","9027","Clinton County","0.8199","0.365"
"2058","OH","9029","Columbiana County","0.8442","0.446"
"2059","OH","9031","Coshocton County","0.7323","0.347"
"2060","OH","9033","Crawford County","0.996","0.506"
"2061","OH","9035","Cuyahoga County","0.995","0.641"
"2062","OH","9037","Darke County","0.951","0.383"
"2063","OH","9039","Defiance County","1","0.483"
"2064","OH","9041","Delaware County","0.9942","0.794"
"2065","OH","9043","Erie County","1","0.491"
"2066","OH","9045","Fairfield County","0.9776","0.645"
"2067","OH","9047","Fayette County","0.8774","0.435"
"2068","OH","9049","Franklin County","0.9999","0.672"
"2069","OH","9051","Fulton County","0.9998","0.316"
"2070","OH","9053","Gallia County","0.8825","0.121"
"2071","OH","9055","Geauga County","0.9356","0.581"
"2072","OH","9057","Greene County","0.9814","0.544"
"2073","OH","9059","Guernsey County","0.8276","0.372"
"2074","OH","9061","Hamilton County","0.9999","0.631"
"2075","OH","9063","Hancock County","0.9799","0.538"
"2076","OH","9065","Hardin County","0.9723","0.395"
"2077","OH","9067","Harrison County","0.6537","0.071"
"2078","OH","9069","Henry County","1","0.359"
"2079","OH","9071","Highland County","0.7459","0.274"
"2080","OH","9073","Hocking County","0.7108","0.26"
"2081","OH","9075","Holmes County","1","0.261"
"2082","OH","9077","Huron County","1","0.435"
"2083","OH","9079","Jackson County","0.8578","0.316"
"2084","OH","9081","Jefferson County","0.9276","0.521"
"2085","OH","9083","Knox County","0.7833","0.46"
"2086","OH","9085","Lake County","0.9992","0.58"
"2087","OH","9087","Lawrence County","0.8642","0.557"
"2088","OH","9089","Licking County","0.9543","0.608"
"2089","OH","9091","Logan County","0.9455","0.322"
"2090","OH","9093","Lorain County","1","0.659"
"2091","OH","9095","Lucas County","0.9893","0.473"
"2092","OH","9097","Madison County","0.9417","0.281"
"2093","OH","9099","Mahoning County","0.9869","0.593"
"2094","OH","9101","Marion County","0.994","0.516"
"2095","OH","9103","Medina County","1","0.786"
"2096","OH","9105","Meigs County","0.6713","0.164"
"2097","OH","9107","Mercer County","1","0.497"
"2098","OH","9109","Miami County","0.9927","0.616"
"2099","OH","9111","Monroe County","0.3943","0.091"
"2100","OH","9113","Montgomery County","0.998","0.627"
"2101","OH","9115","Morgan County","0.6088","0.103"
"2102","OH","9117","Morrow County","0.8083","0.441"
"2103","OH","9119","Muskingum County","0.8931","0.665"
"2104","OH","9121","Noble County","0.6655","0.103"
"2105","OH","9123","Ottawa County","1","0.501"
"2106","OH","9125","Paulding County","1","0.191"
"2107","OH","9127","Perry County","0.7183","0.311"
"2108","OH","9129","Pickaway County","0.9343","0.408"
"2109","OH","9131","Pike County","0.8775","0.322"
"2110","OH","9133","Portage County","0.9927","0.539"
"2111","OH","9135","Preble County","0.9877","0.466"
"2112","OH","9137","Putnam County","0.9999","0.387"
"2113","OH","9139","Richland County","0.9979","0.52"
"2114","OH","9141","Ross County","0.9443","0.452"
"2115","OH","9143","Sandusky County","1","0.531"
"2116","OH","9145","Scioto County","0.9054","0.495"
"2117","OH","9147","Seneca County","0.9675","0.512"
"2118","OH","9149","Shelby County","0.9766","0.533"
"2119","OH","9151","Stark County","0.9946","0.58"
"2120","OH","9153","Summit County","0.9999","0.596"
"2121","OH","9155","Trumbull County","0.9754","0.513"
"2122","OH","9157","Tuscarawas County","0.8931","0.592"
"2123","OH","9159","Union County","0.9947","0.684"
"2124","OH","9161","Van Wert County","1","0.486"
"2125","OH","9163","Vinton County","0.6607","0.141"
"2126","OH","9165","Warren County","0.9826","0.777"
"2127","OH","9167","Washington County","0.7813","0.433"
"2128","OH","9169","Wayne County","0.9783","0.428"
"2129","OH","9171","Williams County","0.9999","0.426"
"2130","OH","9173","Wood County","1","0.573"
"2131","OH","9175","Wyandot County","0.9525","0.426"
"2132","OK","0001","Adair County","0.7634","0.309"
"2133","OK","0003","Alfalfa County","0.9435","0.15"
"2134","OK","0005","Atoka County","0.5262","0.117"
"2135","OK","0007","Beaver County","0.8027","0.238"
"2136","OK","0009","Beckham County","0.7207","0.432"
"2137","OK","0011","Blaine County","0.8255","0.233"
"2138","OK","0013","Bryan County","0.9658","0.378"
"2139","OK","0015","Caddo County","0.5297","0.135"
"2140","OK","0017","Canadian County","0.8857","0.701"
"2141","OK","0019","Carter County","1","0.559"
"2142","OK","0021","Cherokee County","0.7994","0.645"
"2143","OK","0023","Choctaw County","0.3648","0.096"
"2144","OK","0025","Cimarron County","0.7426","0.209"
"2145","OK","0027","Cleveland County","0.9484","0.688"
"2146","OK","0029","Coal County","0.7853","0.066"
"2147","OK","0031","Comanche County","0.9467","0.502"
"2148","OK","0033","Cotton County","0.5835","0.206"
"2149","OK","0035","Craig County","0.9955","0.176"
"2150","OK","0037","Creek County","0.6785","0.411"
"2151","OK","0039","Custer County","0.7881","0.413"
"2152","OK","0041","Delaware County","0.908","0.485"
"2153","OK","0043","Dewey County","0.3267","0.158"
"2154","OK","0045","Ellis County","0.737","0.102"
"2155","OK","0047","Garfield County","0.8676","0.461"
"2156","OK","0049","Garvin County","0.7845","0.169"
"2157","OK","0051","Grady County","0.6878","0.347"
"2158","OK","0053","Grant County","0.8994","0.127"
"2159","OK","0055","Greer County","0.5061","0.136"
"2160","OK","0057","Harmon County","0.8805","0.048"
"2161","OK","0059","Harper County","0.8381","0.093"
"2162","OK","0061","Haskell County","0.3944","0.152"
"2163","OK","0063","Hughes County","0.5391","0.1"
"2164","OK","0065","Jackson County","0.798","0.474"
"2165","OK","0067","Jefferson County","0.6651","0.09"
"2166","OK","0069","Johnston County","0.9401","0.163"
"2167","OK","0071","Kay County","0.9472","0.369"
"2168","OK","0073","Kingfisher County","0.9255","0.591"
"2169","OK","0075","Kiowa County","0.7331","0.132"
"2170","OK","0077","Latimer County","0.5198","0.076"
"2171","OK","0079","Le Flore County","0.5521","0.19"
"2172","OK","0081","Lincoln County","0.9168","0.111"
"2173","OK","0083","Logan County","1","0.407"
"2174","OK","0085","Love County","1","0.224"
"2175","OK","0087","McClain County","0.8554","0.718"
"2176","OK","0089","McCurtain County","0.5648","0.2"
"2177","OK","0091","McIntosh County","0.4087","0.245"
"2178","OK","0093","Major County","0.3517","0.264"
"2179","OK","0095","Marshall County","1","0.104"
"2180","OK","0097","Mayes County","0.952","0.252"
"2181","OK","0099","Murray County","0.9999","0.145"
"2182","OK","0101","Muskogee County","0.6767","0.462"
"2183","OK","0103","Noble County","0.9304","0.096"
"2184","OK","0105","Nowata County","0.8503","0.083"
"2185","OK","0107","Okfuskee County","0.3664","0.12"
"2186","OK","0109","Oklahoma County","0.9685","0.633"
"2187","OK","0111","Okmulgee County","0.5419","0.224"
"2188","OK","0113","Osage County","0.7369","0.181"
"2189","OK","0115","Ottawa County","0.9995","0.191"
"2190","OK","0117","Pawnee County","0.3493","0.083"
"2191","OK","0119","Payne County","1","0.434"
"2192","OK","0121","Pittsburg County","0.7485","0.287"
"2193","OK","0123","Pontotoc County","0.9338","0.431"
"2194","OK","0125","Pottawatomie County","0.8995","0.363"
"2195","OK","0127","Pushmataha County","0.2598","0.077"
"2196","OK","0129","Roger Mills County","0.1267","0.083"
"2197","OK","0131","Rogers County","0.978","0.284"
"2198","OK","0133","Seminole County","0.6123","0.194"
"2199","OK","0135","Sequoyah County","0.3542","0.202"
"2200","OK","0137","Stephens County","0.9521","0.423"
"2201","OK","0139","Texas County","0.8792","0.377"
"2202","OK","0141","Tillman County","0.9041","0.116"
"2203","OK","0143","Tulsa County","0.9835","0.642"
"2204","OK","0145","Wagoner County","0.8904","0.481"
"2205","OK","0147","Washington County","0.919","0.443"
"2206","OK","0149","Washita County","0.6747","0.113"
"2207","OK","0151","Woods County","0.9061","0.288"
"2208","OK","0153","Woodward County","0.3441","0.138"
"2209","OR","1001","Baker County","0.7059","0.38"
"2210","OR","1003","Benton County","0.9951","0.747"
"2211","OR","1005","Clackamas County","0.9695","0.804"
"2212","OR","1007","Clatsop County","0.8239","0.788"
"2213","OR","1009","Columbia County","0.8067","0.277"
"2214","OR","1011","Coos County","0.8966","0.622"
"2215","OR","1013","Crook County","0.9163","0.371"
"2216","OR","1015","Curry County","0.9423","0.517"
"2217","OR","1017","Deschutes County","0.9745","0.693"
"2218","OR","1019","Douglas County","0.93","0.635"
"2219","OR","1021","Gilliam County","0.3797","0.409"
"2220","OR","1023","Grant County","0.5769","0.317"
"2221","OR","1025","Harney County","0.6733","0.106"
"2222","OR","1027","Hood River County","0.97","0.571"
"2223","OR","1029","Jackson County","0.927","0.615"
"2224","OR","1031","Jefferson County","0.9725","0.286"
"2225","OR","1033","Josephine County","0.8853","0.543"
"2226","OR","1035","Klamath County","0.8426","0.582"
"2227","OR","1037","Lake County","0.4811","0.306"
"2228","OR","1039","Lane County","0.9402","0.658"
"2229","OR","1041","Lincoln County","0.9544","0.65"
"2230","OR","1043","Linn County","0.9746","0.624"
"2231","OR","1045","Malheur County","0.9515","0.216"
"2232","OR","1047","Marion County","0.9909","0.732"
"2233","OR","1049","Morrow County","0.5708","0.466"
"2234","OR","1051","Multnomah County","0.979","0.83"
"2235","OR","1053","Polk County","0.9676","0.792"
"2236","OR","1055","Sherman County","0.5067","0.082"
"2237","OR","1057","Tillamook County","0.9166","0.658"
"2238","OR","1059","Umatilla County","0.93","0.476"
"2239","OR","1061","Union County","0.8933","0.505"
"2240","OR","1063","Wallowa County","0.9051","0.19"
"2241","OR","1065","Wasco County","0.8508","0.837"
"2242","OR","1067","Washington County","0.9715","0.827"
"2243","OR","1069","Wheeler County"," -   ","0.149"
"2244","OR","1071","Yamhill County","0.8515","0.59"
"2245","PA","2001","Adams County","0.9387","0.509"
"2246","PA","2003","Allegheny County","0.9937","0.661"
"2247","PA","2005","Armstrong County","0.9542","0.406"
"2248","PA","2007","Beaver County","0.9829","0.589"
"2249","PA","2009","Bedford County","0.762","0.181"
"2250","PA","2011","Berks County","0.9797","0.567"
"2251","PA","2013","Blair County","0.8689","0.517"
"2252","PA","2015","Bradford County","0.7476","0.368"
"2253","PA","2017","Bucks County","0.9864","0.851"
"2254","PA","2019","Butler County","0.9628","0.645"
"2255","PA","2021","Cambria County","0.9366","0.444"
"2256","PA","2023","Cameron County","0.9481","0.305"
"2257","PA","2025","Carbon County","0.9749","0.537"
"2258","PA","2027","Centre County","0.9386","0.547"
"2259","PA","2029","Chester County","0.9891","0.81"
"2260","PA","2031","Clarion County","0.8551","0.34"
"2261","PA","2033","Clearfield County","0.8075","0.46"
"2262","PA","2035","Clinton County","0.9653","0.608"
"2263","PA","2037","Columbia County","0.7994","0.398"
"2264","PA","2039","Crawford County","0.7874","0.52"
"2265","PA","2041","Cumberland County","0.9256","0.657"
"2266","PA","2043","Dauphin County","0.9843","0.695"
"2267","PA","2045","Delaware County","0.99","0.723"
"2268","PA","2047","Elk County","0.9617","0.386"
"2269","PA","2049","Erie County","0.9488","0.514"
"2270","PA","2051","Fayette County","0.8927","0.489"
"2271","PA","2053","Forest County","0.7235","0.107"
"2272","PA","2055","Franklin County","0.9202","0.605"
"2273","PA","2057","Fulton County","0.6028","0.07"
"2274","PA","2059","Greene County","0.8101","0.281"
"2275","PA","2061","Huntingdon County","0.8276","0.374"
"2276","PA","2063","Indiana County","0.8174","0.402"
"2277","PA","2065","Jefferson County","0.8959","0.343"
"2278","PA","2067","Juniata County","0.8018","0.127"
"2279","PA","2069","Lackawanna County","0.8933","0.634"
"2280","PA","2071","Lancaster County","0.9663","0.643"
"2281","PA","2073","Lawrence County","0.9606","0.555"
"2282","PA","2075","Lebanon County","0.9751","0.638"
"2283","PA","2077","Lehigh County","0.999","0.699"
"2284","PA","2079","Luzerne County","0.9701","0.468"
"2285","PA","2081","Lycoming County","0.9566","0.487"
"2286","PA","2083","McKean County","0.8696","0.377"
"2287","PA","2085","Mercer County","0.9131","0.469"
"2288","PA","2087","Mifflin County","0.9599","0.354"
"2289","PA","2089","Monroe County","0.9934","0.604"
"2290","PA","2091","Montgomery County","0.9897","0.831"
"2291","PA","2093","Montour County","0.7219","0.25"
"2292","PA","2095","Northampton County","0.9999","0.647"
"2293","PA","2097","Northumberland County","0.8726","0.455"
"2294","PA","2099","Perry County","0.8479","0.245"
"2295","PA","2101","Philadelphia County","0.9911","0.591"
"2296","PA","2103","Pike County","0.9853","0.679"
"2297","PA","2105","Potter County","0.6977","0.349"
"2298","PA","2107","Schuylkill County","0.9278","0.387"
"2299","PA","2109","Snyder County","0.7738","0.27"
"2300","PA","2111","Somerset County","0.8582","0.492"
"2301","PA","2113","Sullivan County","0.5814","0.143"
"2302","PA","2115","Susquehanna County","0.6028","0.19"
"2303","PA","2117","Tioga County","0.8997","0.315"
"2304","PA","2119","Union County","0.9366","0.365"
"2305","PA","2121","Venango County","0.909","0.447"
"2306","PA","2123","Warren County","0.7523","0.247"
"2307","PA","2125","Washington County","0.9449","0.551"
"2308","PA","2127","Wayne County","0.6491","0.401"
"2309","PA","2129","Westmoreland County","0.9808","0.629"
"2310","PA","2131","Wyoming County","0.8971","0.403"
"2311","PA","2133","York County","0.9961","0.634"
"2312","RI","4001","Bristol County","0.9997","0.777"
"2313","RI","4003","Kent County","0.9855","0.76"
"2314","RI","4005","Newport County","0.965","0.674"
"2315","RI","4007","Providence County","0.989","0.748"
"2316","RI","4009","Washington County","0.9783","0.747"
"2317","SC","5001","Abbeville County","0.9614","0.399"
"2318","SC","5003","Aiken County","0.7016","0.459"
"2319","SC","5005","Allendale County","0.3125","0.034"
"2320","SC","5007","Anderson County","0.9525","0.514"
"2321","SC","5009","Bamberg County","0.399","0.108"
"2322","SC","5011","Barnwell County","0.5312","0.247"
"2323","SC","5013","Beaufort County","0.884","0.749"
"2324","SC","5015","Berkeley County","0.9445","0.662"
"2325","SC","5017","Calhoun County","0.7855","0.152"
"2326","SC","5019","Charleston County","0.9476","0.629"
"2327","SC","5021","Cherokee County","0.8729","0.352"
"2328","SC","5023","Chester County","0.8705","0.176"
"2329","SC","5025","Chesterfield County","0.6777","0.23"
"2330","SC","5027","Clarendon County","0.9383","0.339"
"2331","SC","5029","Colleton County","0.8822","0.392"
"2332","SC","5031","Darlington County","0.8874","0.532"
"2333","SC","5033","Dillon County","0.7687","0.19"
"2334","SC","5035","Dorchester County","0.9269","0.642"
"2335","SC","5037","Edgefield County","0.6781","0.2"
"2336","SC","5039","Fairfield County","0.7977","0.185"
"2337","SC","5041","Florence County","0.9515","0.495"
"2338","SC","5043","Georgetown County","0.8895","0.504"
"2339","SC","5045","Greenville County","0.9834","0.73"
"2340","SC","5047","Greenwood County","0.9133","0.472"
"2341","SC","5049","Hampton County","0.541","0.098"
"2342","SC","5051","Horry County","0.9984","0.824"
"2343","SC","5053","Jasper County","0.6311","0.267"
"2344","SC","5055","Kershaw County","0.833","0.423"
"2345","SC","5057","Lancaster County","0.874","0.471"
"2346","SC","5059","Laurens County","0.9104","0.269"
"2347","SC","5061","Lee County","0.8477","0.136"
"2348","SC","5063","Lexington County","0.9681","0.615"
"2349","SC","5065","McCormick County","0.4012","0.439"
"2350","SC","5067","Marion County","0.7081","0.322"
"2351","SC","5069","Marlboro County","0.401","0.106"
"2352","SC","5071","Newberry County","0.8173","0.329"
"2353","SC","5073","Oconee County","0.8499","0.227"
"2354","SC","5075","Orangeburg County","0.6524","0.413"
"2355","SC","5077","Pickens County","0.9378","0.417"
"2356","SC","5079","Richland County","0.9762","0.527"
"2357","SC","5081","Saluda County","0.6022","0.071"
"2358","SC","5083","Spartanburg County","0.9595","0.528"
"2359","SC","5085","Sumter County","0.9691","0.476"
"2360","SC","5087","Union County","0.7962","0.089"
"2361","SC","5089","Williamsburg County","0.828","0.127"
"2362","SC","5091","York County","0.965","0.653"
"2363","SD","6003","Aurora County","0.7325","0.499"
"2364","SD","6005","Beadle County","1","0.614"
"2365","SD","6007","Bennett County","0.9061","0.304"
"2366","SD","6009","Bon Homme County","0.825","0.301"
"2367","SD","6011","Brookings County","0.9991","0.594"
"2368","SD","6013","Brown County","1","0.451"
"2369","SD","6015","Brule County","1","0.74"
"2370","SD","6017","Buffalo County","1","0.169"
"2371","SD","6019","Butte County","0.994","0.441"
"2372","SD","6021","Campbell County","1","0.552"
"2373","SD","6023","Charles Mix County","0.551","0.371"
"2374","SD","6025","Clark County","0.9909","0.25"
"2375","SD","6027","Clay County","0.9387","0.213"
"2376","SD","6029","Codington County","0.9853","0.69"
"2377","SD","6031","Corson County","0.8336","0.218"
"2378","SD","6033","Custer County","0.6352","0.274"
"2379","SD","6035","Davison County","0.9997","0.611"
"2380","SD","6037","Day County","0.9983","0.159"
"2381","SD","6039","Deuel County","0.9989","0.683"
"2382","SD","6041","Dewey County","0.946","0.54"
"2383","SD","6043","Douglas County","0.8319","0.212"
"2384","SD","6045","Edmunds County","1","0.42"
"2385","SD","6047","Fall River County","0.9137","0.332"
"2386","SD","6049","Faulk County","1","0.673"
"2387","SD","6051","Grant County","0.7764","0.395"
"2388","SD","6053","Gregory County","0.918","0.33"
"2389","SD","6055","Haakon County","0.9242","0.345"
"2390","SD","6057","Hamlin County","0.9995","0.25"
"2391","SD","6059","Hand County","1","0.297"
"2392","SD","6061","Hanson County","0.9997","0.413"
"2393","SD","6063","Harding County","1","0.206"
"2394","SD","6065","Hughes County","0.9998","0.908"
"2395","SD","6067","Hutchinson County","0.997","0.385"
"2396","SD","6069","Hyde County","1","1"
"2397","SD","6071","Jackson County","0.741","0.329"
"2398","SD","6073","Jerauld County","1","0.085"
"2399","SD","6075","Jones County","0.5061","0.209"
"2400","SD","6077","Kingsbury County","1","0.115"
"2401","SD","6079","Lake County","1","0.259"
"2402","SD","6081","Lawrence County","0.943","0.683"
"2403","SD","6083","Lincoln County","0.9559","0.746"
"2404","SD","6085","Lyman County","0.9339","0.213"
"2405","SD","6087","McCook County","0.8177","0.524"
"2406","SD","6089","McPherson County","1","0.516"
"2407","SD","6091","Marshall County","0.9832","0.351"
"2408","SD","6093","Meade County","0.9996","0.296"
"2409","SD","6095","Mellette County","0.5798","0.121"
"2410","SD","6097","Miner County","1","0.438"
"2411","SD","6099","Minnehaha County","0.9855","0.692"
"2412","SD","6101","Moody County","0.9714","0.132"
"2413","SD","6103","Pennington County","0.9551","0.687"
"2414","SD","6105","Perkins County","0.9812","0.725"
"2415","SD","6107","Potter County","1","0.79"
"2416","SD","6109","Roberts County","0.8816","0.533"
"2417","SD","6111","Sanborn County","1","0.353"
"2418","SD","6102","Oglala County","0.7255","0.333"
"2419","SD","6115","Spink County","1","0.106"
"2420","SD","6117","Stanley County","0.9829","0.164"
"2421","SD","6119","Sully County","1","0.914"
"2422","SD","6121","Todd County","0.6264","0.17"
"2423","SD","6123","Tripp County","0.898","0.358"
"2424","SD","6125","Turner County","0.8632","0.281"
"2425","SD","6127","Union County","0.9375","0.426"
"2426","SD","6129","Walworth County","1","0.272"
"2427","SD","6135","Yankton County","0.9268","0.857"
"2428","SD","6137","Ziebach County","1","0.175"
"2429","TN","7001","Anderson County","0.9693","0.653"
"2430","TN","7003","Bedford County","0.9608","0.442"
"2431","TN","7005","Benton County","0.7196","0.124"
"2432","TN","7007","Bledsoe County","0.5383","0.237"
"2433","TN","7009","Blount County","0.9846","0.598"
"2434","TN","7011","Bradley County","0.9779","0.693"
"2435","TN","7013","Campbell County","0.8579","0.363"
"2436","TN","7015","Cannon County","0.9968","0.324"
"2437","TN","7017","Carroll County","0.7124","0.444"
"2438","TN","7019","Carter County","0.9709","0.286"
"2439","TN","7021","Cheatham County","0.9378","0.309"
"2440","TN","7023","Chester County","0.5659","0.349"
"2441","TN","7025","Claiborne County","0.9572","0.351"
"2442","TN","7027","Clay County","0.979","0.227"
"2443","TN","7029","Cocke County","0.8098","0.228"
"2444","TN","7031","Coffee County","0.9451","0.608"
"2445","TN","7033","Crockett County","0.9047","0.142"
"2446","TN","7035","Cumberland County","0.6759","0.419"
"2447","TN","7037","Davidson County","0.9755","0.55"
"2448","TN","7039","Decatur County","0.747","0.299"
"2449","TN","7041","DeKalb County","0.9949","0.454"
"2450","TN","7043","Dickson County","0.7908","0.396"
"2451","TN","7045","Dyer County","0.9223","0.361"
"2452","TN","7047","Fayette County","0.8153","0.455"
"2453","TN","7049","Fentress County","0.989","0.226"
"2454","TN","7051","Franklin County","0.9752","0.343"
"2455","TN","7053","Gibson County","0.9531","0.432"
"2456","TN","7055","Giles County","0.8769","0.253"
"2457","TN","7057","Grainger County","0.6756","0.109"
"2458","TN","7059","Greene County","0.9624","0.48"
"2459","TN","7061","Grundy County","0.875","0.275"
"2460","TN","7063","Hamblen County","1","0.7"
"2461","TN","7065","Hamilton County","0.987","0.787"
"2462","TN","7067","Hancock County","0.7093","0.273"
"2463","TN","7069","Hardeman County","0.5642","0.123"
"2464","TN","7071","Hardin County","0.6392","0.217"
"2465","TN","7073","Hawkins County","0.8242","0.486"
"2466","TN","7075","Haywood County","0.8418","0.182"
"2467","TN","7077","Henderson County","0.7284","0.26"
"2468","TN","7079","Henry County","0.8651","0.624"
"2469","TN","7081","Hickman County","0.7894","0.193"
"2470","TN","7083","Houston County","0.8377","0.19"
"2471","TN","7085","Humphreys County","0.744","0.615"
"2472","TN","7087","Jackson County","0.928","0.33"
"2473","TN","7089","Jefferson County","0.8221","0.236"
"2474","TN","7091","Johnson County","0.9371","0.373"
"2475","TN","7093","Knox County","0.983","0.631"
"2476","TN","7095","Lake County","1","0.253"
"2477","TN","7097","Lauderdale County","0.832","0.252"
"2478","TN","7099","Lawrence County","0.9445","0.297"
"2479","TN","7101","Lewis County","0.9","0.33"
"2480","TN","7103","Lincoln County","0.9632","0.259"
"2481","TN","7105","Loudon County","0.9323","0.445"
"2482","TN","7107","McMinn County","0.8066","0.376"
"2483","TN","7109","McNairy County","0.5099","0.098"
"2484","TN","7111","Macon County","0.9881","0.639"
"2485","TN","7113","Madison County","0.9574","0.794"
"2486","TN","7115","Marion County","0.9105","0.543"
"2487","TN","7117","Marshall County","0.8768","0.379"
"2488","TN","7119","Maury County","0.9253","0.753"
"2489","TN","7121","Meigs County","0.5672","0.109"
"2490","TN","7123","Monroe County","0.868","0.26"
"2491","TN","7125","Montgomery County","0.9217","0.784"
"2492","TN","7127","Moore County","0.9846","0.132"
"2493","TN","7129","Morgan County","1","0.342"
"2494","TN","7131","Obion County","0.7827","0.278"
"2495","TN","7133","Overton County","0.8989","0.739"
"2496","TN","7135","Perry County","0.7988","0.193"
"2497","TN","7137","Pickett County","0.9624","0.313"
"2498","TN","7139","Polk County","0.815","0.205"
"2499","TN","7141","Putnam County","0.953","0.733"
"2500","TN","7143","Rhea County","0.9012","0.226"
"2501","TN","7145","Roane County","0.9309","0.38"
"2502","TN","7147","Robertson County","0.8361","0.562"
"2503","TN","7149","Rutherford County","0.9644","0.7"
"2504","TN","7151","Scott County","1","0.238"
"2505","TN","7153","Sequatchie County","0.7291","0.478"
"2506","TN","7155","Sevier County","0.9508","0.577"
"2507","TN","7157","Shelby County","0.9881","0.43"
"2508","TN","7159","Smith County","0.9273","0.363"
"2509","TN","7161","Stewart County","0.6524","0.448"
"2510","TN","7163","Sullivan County","1","0.785"
"2511","TN","7165","Sumner County","0.9783","0.838"
"2512","TN","7167","Tipton County","0.958","0.366"
"2513","TN","7169","Trousdale County","0.8601","0.318"
"2514","TN","7171","Unicoi County","0.989","0.334"
"2515","TN","7173","Union County","0.7964","0.143"
"2516","TN","7175","Van Buren County","0.7078","0.34"
"2517","TN","7177","Warren County","0.9054","0.637"
"2518","TN","7179","Washington County","0.977","0.685"
"2519","TN","7181","Wayne County","0.8437","0.092"
"2520","TN","7183","Weakley County","0.7036","0.285"
"2521","TN","7185","White County","0.9445","0.421"
"2522","TN","7187","Williamson County","0.9385","0.833"
"2523","TN","7189","Wilson County","0.9672","0.841"
"2524","TX","8001","Anderson County","0.497","0.191"
"2525","TX","8003","Andrews County","0.8891","0.541"
"2526","TX","8005","Angelina County","0.9044","0.501"
"2527","TX","8007","Aransas County","0.9857","0.94"
"2528","TX","8009","Archer County","0.9998","0.283"
"2529","TX","8011","Armstrong County","0.7202","0.184"
"2530","TX","8013","Atascosa County","1","0.232"
"2531","TX","8015","Austin County","0.8709","0.186"
"2532","TX","8017","Bailey County","0.7617","0.273"
"2533","TX","8019","Bandera County","0.9711","0.673"
"2534","TX","8021","Bastrop County","1","0.473"
"2535","TX","8023","Baylor County","0.9972","0.082"
"2536","TX","8025","Bee County","0.9866","0.47"
"2537","TX","8027","Bell County","0.9641","0.67"
"2538","TX","8029","Bexar County","0.9997","0.719"
"2539","TX","8031","Blanco County","0.7087","0.132"
"2540","TX","8033","Borden County","0.344","0.263"
"2541","TX","8035","Bosque County","0.9942","0.131"
"2542","TX","8037","Bowie County","0.9231","0.661"
"2543","TX","8039","Brazoria County","0.8627","0.685"
"2544","TX","8041","Brazos County","0.9594","0.745"
"2545","TX","8043","Brewster County","0.7734","0.415"
"2546","TX","8045","Briscoe County","0.8467","0.135"
"2547","TX","8047","Brooks County","0.9976","0.08"
"2548","TX","8049","Brown County","1","0.239"
"2549","TX","8051","Burleson County","1","0.123"
"2550","TX","8053","Burnet County","0.9002","0.564"
"2551","TX","8055","Caldwell County","1","0.378"
"2552","TX","8057","Calhoun County","0.8707","0.6"
"2553","TX","8059","Callahan County","0.96","0.136"
"2554","TX","8061","Cameron County","1","0.641"
"2555","TX","8063","Camp County","0.4849","0.098"
"2556","TX","8065","Carson County","0.9954","0.209"
"2557","TX","8067","Cass County","0.5531","0.165"
"2558","TX","8069","Castro County","0.8068","0.062"
"2559","TX","8071","Chambers County","0.948","0.435"
"2560","TX","8073","Cherokee County","0.6933","0.249"
"2561","TX","8075","Childress County","0.9318","0.555"
"2562","TX","8077","Clay County","0.9953","0.29"
"2563","TX","8079","Cochran County","0.7518","0.167"
"2564","TX","8081","Coke County","0.8518","0.095"
"2565","TX","8083","Coleman County","0.3428","0.191"
"2566","TX","8085","Collin County","0.9927","0.802"
"2567","TX","8087","Collingsworth County","0.9685","0.148"
"2568","TX","8089","Colorado County","0.8165","0.277"
"2569","TX","8091","Comal County","0.991","0.931"
"2570","TX","8093","Comanche County","0.9131","0.27"
"2571","TX","8095","Concho County","0.8349","0.069"
"2572","TX","8097","Cooke County","0.992","0.64"
"2573","TX","8099","Coryell County","0.9911","0.552"
"2574","TX","8101","Cottle County","0.8992","0.248"
"2575","TX","8103","Crane County","0.1459","0.038"
"2576","TX","8105","Crockett County","0.3661","0.151"
"2577","TX","8107","Crosby County","0.8759","0.113"
"2578","TX","8109","Culberson County","0.9194","0.07"
"2579","TX","8111","Dallam County","0.9588","0.444"
"2580","TX","8113","Dallas County","0.9986","0.733"
"2581","TX","8115","Dawson County","0.994","0.246"
"2582","TX","8117","Deaf Smith County","0.9287","0.192"
"2583","TX","8119","Delta County","0.8537","0.088"
"2584","TX","8121","Denton County","0.9966","0.891"
"2585","TX","8123","DeWitt County","0.8941","0.344"
"2586","TX","8125","Dickens County","0.9593","0.22"
"2587","TX","8127","Dimmit County","0.7872","0.189"
"2588","TX","8129","Donley County","0.5265","0.093"
"2589","TX","8131","Duval County","0.7601","0.073"
"2590","TX","8133","Eastland County","0.9998","0.09"
"2591","TX","8135","Ector County","0.9501","0.595"
"2592","TX","8137","Edwards County","0.4617","0.226"
"2593","TX","8139","Ellis County","0.996","0.618"
