"","st","countyid","county_name","fcc_broadband","usage"
"1657","NE","1005","Arthur County","0.7559"," -   "
"1658","NE","1007","Banner County","0.9879"," -   "
"1659","NE","1009","Blaine County","0.4839","0.097"
"1660","NE","1011","Boone County","0.6308","0.159"
"1661","NE","1013","Box Butte County","0.9849","0.535"
"1662","NE","1015","Boyd County","0.9943","0.424"
"1663","NE","1017","Brown County","0.268","0.109"
"1664","NE","1019","Buffalo County","0.9653","0.713"
"1665","NE","1021","Burt County","0.981","0.266"
"1666","NE","1023","Butler County","1","0.243"
"1667","NE","1025","Cass County","1","0.419"
"1668","NE","1027","Cedar County","0.6553","0.267"
"1669","NE","1029","Chase County","1","0.48"
"1670","NE","1031","Cherry County","0.515","0.146"
"1671","NE","1033","Cheyenne County","0.9522","0.436"
"1672","NE","1035","Clay County","0.7429","0.219"
"1673","NE","1037","Colfax County","1","0.132"
"1674","NE","1039","Cuming County","0.89","0.284"
"1675","NE","1041","Custer County","0.6641","0.244"
"1676","NE","1043","Dakota County","0.9079","0.271"
"1677","NE","1045","Dawes County","0.7901","0.339"
"1678","NE","1047","Dawson County","0.9018","0.435"
"1679","NE","1049","Deuel County","0.9409","0.111"
"1680","NE","1051","Dixon County","0.9237","0.301"
"1681","NE","1053","Dodge County","1","0.55"
"1682","NE","1055","Douglas County","1","0.657"
"1683","NE","1057","Dundy County","0.961","0.449"
"1684","NE","1059","Fillmore County","0.8411","0.598"
"1685","NE","1061","Franklin County","0.72","0.216"
"1686","NE","1063","Frontier County","0.7678","0.043"
"1687","NE","1065","Furnas County","0.7868","0.191"
"1688","NE","1067","Gage County","0.9535","0.407"
"1689","NE","1069","Garden County","0.9249","0.073"
"1690","NE","1071","Garfield County","0.9025","0.23"
"1691","NE","1073","Gosper County","0.5251","0.26"
"1692","NE","1075","Grant County","0.6934","0.108"
"1693","NE","1077","Greeley County","0.3565","0.136"
"1694","NE","1079","Hall County","0.9978","0.689"
"1695","NE","1081","Hamilton County","0.9944","0.409"
"1696","NE","1083","Harlan County","0.7559","0.074"
"1697","NE","1085","Hayes County","0.8766","0.159"
"1698","NE","1087","Hitchcock County","0.9743","0.174"
"1699","NE","1089","Holt County","0.8074","0.206"
"1700","NE","1091","Hooker County","0.9413","0.123"
"1701","NE","1093","Howard County","0.8116","0.178"
"1702","NE","1095","Jefferson County","0.6807","0.351"
"1703","NE","1097","Johnson County","1","0.116"
"1704","NE","1099","Kearney County","0.8987","0.333"
"1705","NE","1101","Keith County","0.9459","0.589"
"1706","NE","1103","Keya Paha County","0.9653","0.163"
"1707","NE","1105","Kimball County","0.9705","0.215"
"1708","NE","1107","Knox County","0.5193","0.133"
"1709","NE","1109","Lancaster County","1","0.677"
"1710","NE","1111","Lincoln County","0.9431","0.558"
"1711","NE","1113","Logan County","0.2366","0.186"
"1712","NE","1115","Loup County","0.8462","0.089"
"1713","NE","1117","McPherson County","0.5182"," -   "
"1714","NE","1119","Madison County","0.9669","0.536"
"1715","NE","1121","Merrick County","0.9381","0.267"
"1716","NE","1123","Morrill County","0.9819","0.268"
"1717","NE","1125","Nance County","0.8068","0.203"
"1718","NE","1127","Nemaha County","1","0.31"
"1719","NE","1129","Nuckolls County","0.7406","0.429"
"1720","NE","1131","Otoe County","1","0.416"
"1721","NE","1133","Pawnee County","0.8898","0.078"
"1722","NE","1135","Perkins County","0.9588","0.322"
"1723","NE","1137","Phelps County","0.9311","0.281"
"1724","NE","1139","Pierce County","0.8127","0.183"
"1725","NE","1141","Platte County","0.9838","0.535"
"1726","NE","1143","Polk County","0.9944","0.244"
"1727","NE","1145","Red Willow County","0.989","0.346"
"1728","NE","1147","Richardson County","0.9959","0.272"
"1729","NE","1149","Rock County","0.7377","0.108"
"1730","NE","1151","Saline County","0.9944","0.451"
"1731","NE","1153","Sarpy County","1","0.726"
"1732","NE","1155","Saunders County","1","0.361"
"1733","NE","1157","Scotts Bluff County","1","0.683"
"1734","NE","1159","Seward County","1","0.635"
"1735","NE","1161","Sheridan County","0.5198","0.12"
"1736","NE","1163","Sherman County","0.7434","0.184"
"1737","NE","1165","Sioux County","1","0.072"
"1738","NE","1167","Stanton County","0.912","0.26"
"1739","NE","1169","Thayer County","0.6502","0.341"
"1740","NE","1171","Thomas County","0.8019","0.1"
"1741","NE","1173","Thurston County","0.5868","0.235"
"1742","NE","1175","Valley County","0.7814","0.262"
"1743","NE","1177","Washington County","1","0.239"
"1744","NE","1179","Wayne County","0.7327","0.346"
"1745","NE","1181","Webster County","0.5612","0.393"
"1746","NE","1183","Wheeler County","0.7791","0.264"
"1747","NE","1185","York County","0.9915","0.589"
"1748","NV","2001","Churchill County","0.8894","0.756"
"1749","NV","2003","Clark County","0.9938","0.781"
"1750","NV","2005","Douglas County","0.9652","0.644"
"1751","NV","2007","Elko County","0.7842","0.129"
"1752","NV","2009","Esmeralda County","0.2325","0.074"
"1753","NV","2011","Eureka County","0.0621","0.026"
"1754","NV","2013","Humboldt County","0.9074","0.18"
"1755","NV","2015","Lander County","0.0022","0.056"
"1756","NV","2017","Lincoln County","0.8703","0.145"
"1757","NV","2019","Lyon County","0.8227","0.563"
"1758","NV","2021","Mineral County","0.7154","0.315"
"1759","NV","2023","Nye County","0.8587","0.535"
"1760","NV","2027","Pershing County","0.1767","0.035"
"1761","NV","2029","Storey County","0.6911","0.176"
"1762","NV","2031","Washoe County","0.9722","0.73"
"1763","NV","2033","White Pine County","0.0095","0.083"
"1764","NV","2510","Carson City","0.9948","0.796"
"1765","NH","3001","Belknap County","0.9732","0.774"
"1766","NH","3003","Carroll County","0.9774","0.625"
"1767","NH","3005","Cheshire County","0.8636","0.404"
"1768","NH","3007","Coos County","0.8917","0.426"
"1769","NH","3009","Grafton County","0.9401","0.563"
"1770","NH","3011","Hillsborough County","0.9817","0.871"
"1771","NH","3013","Merrimack County","0.9779","0.786"
